Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List,Preparation_Steps,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability
R884,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,31,Hard,U340,Vegetarian,5,Feedback 884,2024-09-26,Winter,Dinner,3,364,Dairy,12.88,190,Yes
R885,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,60,Easy,U180,Vegan,4,Feedback 885,2024-03-13,Fall,Lunch,5,787,Soy,13.31,412,Yes
R886,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,71,Easy,U347,None,1,Feedback 886,2024-08-07,Fall,Party,6,578,Gluten,10.78,445,No
R887,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,63,Hard,U384,Vegetarian,4,Feedback 887,2024-05-03,Summer,Party,4,320,Dairy,10.01,119,Yes
R888,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,32,Hard,U771,Vegetarian,2,Feedback 888,2024-07-08,Winter,Casual,2,507,Dairy,11.75,250,Yes
R889,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,90,Hard,U480,Vegetarian,1,Feedback 889,2024-04-23,Winter,Party,5,307,Dairy,5.14,205,No
R890,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,43,Easy,U930,None,1,Feedback 890,2024-11-15,Spring,Party,4,423,Gluten,15.82,175,Yes
R891,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,62,Medium,U796,None,4,Feedback 891,2024-05-13,Winter,Casual,3,644,None,5.28,317,Yes
R892,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,21,Hard,U820,Vegetarian,4,Feedback 892,2024-03-24,Summer,Dinner,4,383,Dairy,8.81,336,No
R893,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,50,Easy,U803,None,2,Feedback 893,2024-08-19,Winter,Dinner,6,429,Gluten,19.97,133,Yes
R894,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,21,Medium,U143,None,4,Feedback 894,2024-11-30,Summer,Casual,5,437,None,9.63,338,Yes
R895,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,47,Medium,U378,None,2,Feedback 895,2024-11-20,Spring,Casual,5,520,None,12.03,409,Yes
R896,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,24,Easy,U947,None,1,Feedback 896,2024-10-21,Spring,Lunch,3,476,Gluten,19.13,151,Yes
R897,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,60,Easy,U683,None,5,Feedback 897,2024-09-10,Winter,Party,6,204,Gluten,7.05,418,No
R898,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,39,Easy,U802,None,3,Feedback 898,2024-02-10,Spring,Party,2,452,Gluten,19.75,382,No
R899,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,64,Hard,U293,Vegetarian,3,Feedback 899,2024-09-19,Summer,Casual,2,523,Dairy,13.56,348,No
R900,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,20,Easy,U327,Vegan,3,Feedback 900,2024-06-05,Summer,Lunch,3,271,Soy,18.73,500,Yes
R901,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,68,Medium,U577,Gluten-Free,5,Feedback 901,2024-05-17,Summer,Dinner,2,646,None,12.89,388,Yes
R902,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,67,Medium,U697,Gluten-Free,1,Feedback 902,2024-09-19,Spring,Casual,3,229,None,8.86,157,No
R903,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,24,Easy,U496,Vegan,4,Feedback 903,2024-06-07,Fall,Party,5,783,Soy,10.23,104,Yes
R904,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,46,Medium,U801,None,5,Feedback 904,2024-04-25,Winter,Dinner,2,523,None,9.35,88,No
R905,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,51,Medium,U333,None,2,Feedback 905,2024-08-26,Summer,Dinner,6,486,None,16.18,378,Yes
R906,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,57,Medium,U710,None,1,Feedback 906,2024-12-01,Fall,Lunch,3,730,None,19.58,333,No
R907,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,37,Easy,U760,Vegan,2,Feedback 907,2024-12-09,Fall,Casual,6,326,Soy,6.15,274,Yes
R908,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,35,Easy,U773,None,5,Feedback 908,2024-03-29,Fall,Dinner,1,704,Gluten,7.21,192,Yes
R909,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,28,Medium,U220,Gluten-Free,3,Feedback 909,2024-06-26,Summer,Casual,6,463,None,9.85,492,Yes
R910,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,56,Medium,U464,None,5,Feedback 910,2024-05-06,Summer,Party,3,388,None,11.84,353,No
R911,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,58,Easy,U479,None,4,Feedback 911,2024-09-06,Fall,Casual,1,222,Gluten,7.83,301,Yes
R912,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,70,Medium,U163,None,4,Feedback 912,2024-07-14,Summer,Casual,3,735,None,8.55,430,No
R913,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,62,Medium,U893,Gluten-Free,4,Feedback 913,2024-05-27,Summer,Casual,2,436,None,13.19,378,Yes
R914,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,80,Easy,U616,None,4,Feedback 914,2024-02-09,Summer,Casual,1,582,Gluten,13.06,266,Yes
R915,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,67,Hard,U579,Vegetarian,3,Feedback 915,2024-01-22,Spring,Lunch,3,236,Dairy,16.15,157,No
R916,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,32,Hard,U480,Vegetarian,2,Feedback 916,2024-09-27,Spring,Party,6,792,Dairy,8.44,356,Yes
R917,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,17,Medium,U703,Gluten-Free,4,Feedback 917,2024-01-12,Spring,Dinner,6,621,None,10.28,103,Yes
R918,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,26,Easy,U339,None,2,Feedback 918,2024-12-28,Winter,Party,3,222,Gluten,12.33,379,Yes
R919,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,85,Easy,U874,Vegan,3,Feedback 919,2024-06-26,Winter,Dinner,1,244,Soy,15.04,456,No
R920,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,17,Medium,U215,Gluten-Free,5,Feedback 920,2024-11-04,Spring,Party,4,292,None,11.53,283,No
R921,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,67,Medium,U513,None,5,Feedback 921,2024-01-15,Spring,Lunch,6,389,None,5.46,457,No
R922,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,27,Easy,U261,None,4,Feedback 922,2024-06-16,Summer,Lunch,5,368,Gluten,14.59,330,Yes
R923,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,70,Medium,U552,None,4,Feedback 923,2024-12-13,Spring,Dinner,4,207,None,13.87,476,No
R924,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,36,Easy,U683,Vegan,4,Feedback 924,2024-11-22,Winter,Lunch,5,348,Soy,19.75,364,No
R925,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,57,Easy,U970,None,4,Feedback 925,2024-03-27,Fall,Party,1,208,Gluten,19.67,156,No
R926,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,41,Hard,U860,Vegetarian,1,Feedback 926,2024-07-07,Spring,Lunch,5,572,Dairy,10.67,460,Yes
R927,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,89,Easy,U664,Vegan,2,Feedback 927,2024-03-27,Winter,Party,1,769,Soy,8.25,398,No
R928,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,44,Medium,U980,Gluten-Free,1,Feedback 928,2024-06-08,Winter,Party,5,484,None,18.14,265,Yes
R929,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,36,Hard,U509,Vegetarian,5,Feedback 929,2024-12-24,Fall,Casual,5,709,Dairy,14.89,64,Yes
R930,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,21,Medium,U710,None,5,Feedback 930,2024-07-09,Winter,Lunch,2,268,None,15.01,420,Yes
R931,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,67,Hard,U721,Vegetarian,5,Feedback 931,2024-08-30,Winter,Party,4,601,Dairy,19.31,325,Yes
R932,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,72,Hard,U369,Vegetarian,3,Feedback 932,2024-10-20,Fall,Casual,5,588,Dairy,6.54,205,Yes
R933,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,42,Hard,U882,Vegetarian,3,Feedback 933,2024-05-10,Winter,Dinner,4,370,Dairy,14.33,90,Yes
R934,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,58,Easy,U683,Vegan,2,Feedback 934,2024-03-29,Winter,Lunch,4,264,Soy,5.37,225,No
R935,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,60,Easy,U694,Vegan,1,Feedback 935,2024-11-25,Winter,Lunch,1,423,Soy,12.16,456,No
R936,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,58,Easy,U935,Vegan,1,Feedback 936,2024-07-03,Fall,Party,2,583,Soy,12.26,397,Yes
R937,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,44,Easy,U233,Vegan,1,Feedback 937,2024-10-03,Fall,Casual,6,720,Soy,16.54,336,Yes
R938,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,55,Medium,U708,Gluten-Free,1,Feedback 938,2024-02-26,Spring,Dinner,1,417,None,18.19,271,Yes
R939,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,73,Easy,U463,None,2,Feedback 939,2024-07-06,Spring,Dinner,5,299,Gluten,6.84,147,No
R940,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,81,Medium,U263,Gluten-Free,4,Feedback 940,2024-10-14,Spring,Casual,6,267,None,15.23,481,Yes
R941,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,66,Hard,U201,Vegetarian,4,Feedback 941,2024-03-06,Fall,Dinner,5,548,Dairy,11.39,464,Yes
R942,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,71,Medium,U313,None,5,Feedback 942,2024-10-22,Spring,Lunch,5,732,None,9.86,453,No
R943,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,66,Hard,U394,Vegetarian,1,Feedback 943,2024-01-09,Winter,Party,2,606,Dairy,16.39,332,No
R944,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,72,Easy,U319,Vegan,1,Feedback 944,2024-07-30,Summer,Dinner,1,480,Soy,5.28,375,No
R945,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,27,Easy,U633,Vegan,1,Feedback 945,2024-08-30,Winter,Party,4,767,Soy,9.24,50,Yes
R946,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,34,Easy,U959,Vegan,2,Feedback 946,2024-03-24,Summer,Party,3,256,Soy,10.37,359,No
R947,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,73,Hard,U364,Vegetarian,2,Feedback 947,2024-09-22,Spring,Party,4,326,Dairy,9.81,429,No
R948,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,49,Easy,U316,None,5,Feedback 948,2024-09-12,Fall,Party,2,651,Gluten,9.78,319,No
R949,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,89,Easy,U770,None,3,Feedback 949,2024-09-22,Summer,Lunch,6,311,Gluten,5.12,223,No
R950,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,46,Medium,U968,None,2,Feedback 950,2024-09-20,Winter,Casual,6,576,None,10.54,461,Yes
R951,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,24,Easy,U822,None,5,Feedback 951,2024-10-25,Summer,Dinner,5,495,Gluten,5.5,229,No
R952,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,29,Medium,U522,None,4,Feedback 952,2024-09-28,Winter,Dinner,2,661,None,13.79,210,No
R953,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,28,Medium,U667,None,5,Feedback 953,2024-11-04,Fall,Party,1,444,None,9.68,207,Yes
R954,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,54,Easy,U583,Vegan,2,Feedback 954,2024-09-08,Fall,Lunch,4,754,Soy,17.32,196,No
R955,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,71,Easy,U218,None,4,Feedback 955,2024-05-08,Fall,Casual,6,337,Gluten,14.86,156,No
R956,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,90,Easy,U541,Vegan,5,Feedback 956,2024-01-18,Fall,Casual,2,603,Soy,10.97,153,Yes
R957,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,17,Easy,U492,Vegan,3,Feedback 957,2024-09-09,Fall,Dinner,5,775,Soy,5.96,401,No
R958,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,85,Easy,U257,None,4,Feedback 958,2024-12-17,Winter,Party,4,664,Gluten,11.24,377,No
R959,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,16,Hard,U699,Vegetarian,1,Feedback 959,2024-01-25,Fall,Dinner,6,556,Dairy,12.03,288,Yes
R960,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,21,Hard,U832,Vegetarian,1,Feedback 960,2024-07-07,Winter,Party,2,519,Dairy,5.82,462,No
R961,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,87,Medium,U961,Gluten-Free,3,Feedback 961,2024-01-21,Spring,Lunch,5,415,None,16.44,415,Yes
R962,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,26,Hard,U921,Vegetarian,1,Feedback 962,2024-05-08,Fall,Party,5,745,Dairy,17.71,457,Yes
R963,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,34,Hard,U550,Vegetarian,5,Feedback 963,2024-01-11,Fall,Party,2,565,Dairy,8.99,206,No
R964,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,17,Hard,U864,Vegetarian,2,Feedback 964,2024-11-05,Fall,Dinner,3,631,Dairy,18.3,167,No
R965,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,22,Easy,U478,Vegan,5,Feedback 965,2024-01-07,Summer,Casual,3,558,Soy,13.41,159,No
R966,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,86,Medium,U399,None,3,Feedback 966,2024-12-11,Spring,Casual,5,405,None,15.8,429,No
R967,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,27,Medium,U798,Gluten-Free,5,Feedback 967,2024-12-15,Fall,Party,4,753,None,11.28,73,Yes
R968,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,83,Hard,U171,Vegetarian,1,Feedback 968,2024-07-21,Fall,Lunch,2,386,Dairy,11.23,223,Yes
R969,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,38,Medium,U224,None,5,Feedback 969,2024-10-15,Summer,Party,2,467,None,14.9,217,No
R970,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,53,Hard,U453,Vegetarian,3,Feedback 970,2024-09-15,Winter,Dinner,4,217,Dairy,12.18,276,No
R971,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,31,Easy,U424,Vegan,4,Feedback 971,2024-03-16,Summer,Lunch,5,644,Soy,17.4,114,Yes
R972,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,58,Hard,U888,Vegetarian,5,Feedback 972,2024-02-04,Winter,Party,3,705,Dairy,18.27,157,No
R973,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,89,Medium,U478,Gluten-Free,4,Feedback 973,2024-07-16,Winter,Dinner,5,219,None,17.24,136,Yes
R974,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,64,Easy,U559,None,5,Feedback 974,2024-10-10,Fall,Dinner,5,676,Gluten,9.97,353,Yes
R975,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,22,Hard,U553,Vegetarian,5,Feedback 975,2024-11-05,Winter,Casual,4,315,Dairy,19.79,250,No
R976,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,54,Medium,U438,Gluten-Free,1,Feedback 976,2024-11-24,Spring,Lunch,4,493,None,10.66,211,No
R977,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,48,Hard,U322,Vegetarian,5,Feedback 977,2024-08-22,Summer,Party,2,642,Dairy,8.59,336,No
R978,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,41,Medium,U391,None,4,Feedback 978,2024-08-31,Fall,Dinner,3,419,None,17.75,328,No
R979,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,86,Easy,U910,None,3,Feedback 979,2024-10-29,Winter,Lunch,3,597,Gluten,10.11,140,No
R980,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,58,Medium,U452,None,2,Feedback 980,2024-05-05,Spring,Dinner,3,339,None,13.28,339,Yes
R981,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,88,Hard,U471,Vegetarian,3,Feedback 981,2024-12-14,Spring,Casual,6,715,Dairy,5.13,367,No
R982,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,25,Medium,U448,Gluten-Free,5,Feedback 982,2024-06-05,Winter,Dinner,4,314,None,7.09,405,Yes
R983,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,40,Hard,U569,Vegetarian,5,Feedback 983,2024-05-31,Spring,Lunch,3,572,Dairy,13.04,457,Yes
R984,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,39,Easy,U409,None,4,Feedback 984,2024-12-20,Summer,Party,1,345,Gluten,6.09,169,No
R985,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,31,Easy,U590,None,2,Feedback 985,2024-08-22,Fall,Casual,6,756,Gluten,16.29,436,Yes
R986,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,57,Easy,U381,Vegan,2,Feedback 986,2024-09-22,Fall,Party,5,265,Soy,18.4,252,Yes
R987,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,27,Medium,U313,None,2,Feedback 987,2024-11-11,Summer,Casual,6,334,None,10.1,370,Yes
R988,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,32,Hard,U526,Vegetarian,4,Feedback 988,2024-04-30,Winter,Lunch,2,226,Dairy,15.4,81,No
R989,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,65,Hard,U975,Vegetarian,1,Feedback 989,2024-01-31,Spring,Lunch,4,573,Dairy,10.72,118,No
R990,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,28,Medium,U595,None,5,Feedback 990,2024-01-09,Spring,Lunch,3,354,None,11.45,315,No
R991,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,43,Easy,U572,None,4,Feedback 991,2024-02-28,Fall,Lunch,5,392,Gluten,8.79,439,No
